DATETIME,TOTALDEMAND,Estimated Resident Population
2010-03-31,8834.876157355242,7128356.0
2010-06-30,9189.276440051797,7144292.0
2010-09-30,8272.191721894387,7162726.0
2010-12-31,8877.32134714826,7179891.0
2011-03-31,8904.30212197735,7204737.0
2011-06-30,9029.951866742167,7218529.0
2011-09-30,8125.145211736237,7239528.0
2011-12-31,8268.742877120587,7258722.0
2012-03-31,8576.727507086493,7284982.0
2012-06-30,8504.60846159667,7304244.0
2012-09-30,7664.846036995092,7327614.0
2012-12-31,8148.0722438271605,7353189.0
2013-03-31,8069.9740501833185,7382957.0
2013-06-30,8119.871551906379,7404032.0
2013-09-30,7596.532332804952,7430904.0
2013-12-31,7984.820013117283,7454938.0
2014-03-31,7839.525848026868,7487834.0
2014-06-30,8293.342402960277,7508353.0
2014-09-30,7554.340144172706,7536277.0
2014-12-31,7908.159818287037,7562171.0
2015-03-31,8014.476356074481,7595731.0
2015-06-30,8367.351587032004,7616168.0
2015-09-30,7625.957865232163,7645324.0
2015-12-31,8120.8163875413875,7671401.0
2016-03-31,7894.51751182845,7707412.0
2016-06-30,8271.5028338057,7732858.0
2016-09-30,7607.7081585503975,7767915.0
2016-12-31,8389.530888503086,7795625.0
2017-03-31,7981.093291351805,7833463.0
2017-06-30,8240.855747282609,7855316.0
2017-09-30,7621.782903457126,7884752.0
2017-12-31,8131.643458864426,7900946.0
2018-03-31,8049.575720803619,7934688.0
2018-06-30,8269.897060688407,7954476.0
2018-09-30,7542.640264945652,7984525.0
2018-12-31,8370.675167438272,8003564.0
2019-03-31,7927.930846306472,8032991.0
2019-06-30,8163.059985654964,8046748.0
2019-09-30,7404.333055932971,8071350.0
2019-12-31,7863.06705242674,8088361.0
2020-03-31,7717.903704212455,8112001.0
2020-06-30,8106.247352741278,8110610.0
2020-09-30,7172.52305102657,8098905.0
2020-12-31,7449.435269290124,8094300.0
2021-03-31,7917.513543786617,8093015.0
2021-06-30,7900.835812399171,8097062.0
2021-09-30,6940.838766719565,8088503.0
2021-12-31,7493.049886521538,8101223.0
2022-03-31,7886.612859323716,8137688.0
2022-06-30,8909.843244415528,8166525.0
